class_name,class_id
../data/music genre/audio/rock/The_Ditch_Dogs-Southern_Way.wav,8
../data/music genre/audio/rock/Trip2Go-Drop_Dead_Gorgeous__Rock_.wav,8
../data/music genre/audio/rock/Harrison-Cool_New_One.wav,8
../data/music genre/audio/funksoulrnb/the_rock_shop-dirty_mony.wav,4
../data/music genre/audio/raphiphop/LOULAW-Hip_Hop_2004.wav,7
../data/music genre/audio/funksoulrnb/teka__T_K__-I_Plan.wav,4
../data/music genre/audio/jazz/Russ_Bryant_Group-Never_Assume.wav,5
../data/music genre/audio/pop/Zuzu-Constellation.wav,6
../data/music genre/audio/blues/The_Mitchell_Blues_Band-I_Don_t_Want_You_Anymore.wav,1
../data/music genre/audio/pop/Geoff_Byrd-Frozen.wav,6
../data/music genre/audio/alternative/Sarah_Fimm-red_paper_bag.wav,0
../data/music genre/audio/blues/The_Blue_Olives-ripe.wav,1
../data/music genre/audio/electronic/Synthetic_Movements-Speaking_In_Electronic_Tongues.wav,2
../data/music genre/audio/pop/Ian_Tanner-Ten_Cartwheels.wav,6
../data/music genre/audio/folkcountry/MILLENIUM_COWBOY-HARD_2_GET_A_WOMAN_OUT_OF_NEW_ORLEANS.wav,3
../data/music genre/audio/folkcountry/Pondering_Judd-Slim.wav,3
../data/music genre/audio/raphiphop/F_N_I_C_-Mo_Dime.wav,7
../data/music genre/audio/rock/zamora_ca_-bent_spoon_black.wav,8
../data/music genre/audio/rock/BlueRuin-Reflections.wav,8
../data/music genre/audio/electronic/Waldo-Midnight.wav,2
../data/music genre/audio/jazz/Rude_On_The_Rhine-Funsion.wav,5
../data/music genre/audio/rock/JayCrash-Ridin_That_Wave.wav,8
../data/music genre/audio/jazz/Stefan_Olofsson-Snow_Fever.wav,5
../data/music genre/audio/raphiphop/The_Blue_Room-3_Minutes.wav,7
../data/music genre/audio/pop/Jensen-gotta_be_a_better_way.wav,6
../data/music genre/audio/jazz/Chris_Greene_and_New_Perspective-Adamantium__Redux_.wav,5
